month,artistName,totalMins,rank
2021-05,Keith Urban,0.41,1.0
2021-10,Beach Bunny,1.57,1.0
2022-02,Taylor Swift,356.41,1.0
2022-02,"Slaughter Beach, Dog",247.57,2.0
2022-02,Pinegrove,219.45,3.0
2022-03,"Slaughter Beach, Dog",619.49,1.0
2022-03,Bon Iver,408.14,2.0
2022-03,Pinegrove,311.64,3.0
2022-04,"Slaughter Beach, Dog",433.54,1.0
2022-04,Rainbow Kitten Surprise,405.86,2.0
2022-04,Pinegrove,399.71,3.0
2022-05,Rainbow Kitten Surprise,814.21,1.0
2022-05,"Slaughter Beach, Dog",418.18,2.0
2022-05,Still Woozy,332.56,3.0
2022-06,The 1975,694.15,1.0
2022-06,"Tyler, The Creator",462.42,2.0
2022-06,Rainbow Kitten Surprise,233.69,3.0
2022-07,The 1975,408.05,1.0
2022-07,"Tyler, The Creator",276.0,2.0
2022-07,Phoebe Bridgers,242.39,3.0
2022-08,The 1975,532.62,1.0
2022-08,Turnover,321.72,2.0
2022-08,"Slaughter Beach, Dog",306.72,3.0
2022-09,The 1975,534.38,1.0
2022-09,"Slaughter Beach, Dog",506.89,2.0
2022-09,Turnover,493.64,3.0
2022-10,The 1975,837.59,1.0
2022-10,Sleep Podcast by Slow | Relaxing Sleep Sounds To Help You Sleep | Nature Sounds For Sleep | ASMR,489.0,2.0
2022-10,girl in red,474.26,3.0
2022-11,The 1975,853.64,1.0
2022-11,Turnover,299.31,2.0
2022-11,fanclubwallet,289.06,3.0
2022-12,Phoebe Bridgers,656.89,1.0
2022-12,The 1975,526.01,2.0
2022-12,"Slaughter Beach, Dog",290.39,3.0
2023-01,The 1975,823.96,1.0
2023-01,"Slaughter Beach, Dog",275.99,2.0
2023-01,Phoebe Bridgers,235.95000000000002,3.0
2023-02,The 1975,440.32,1.0
2023-02,C418,188.49,2.0
2023-02,"Slaughter Beach, Dog",74.58,3.0
